TYPEHUQ,CDD30YR,NUMFLRS,STUDIO,STORIES,BEDROOMS,NCOMBATH,OTHROOMS,TOTROOMS,PRKGPLC1,OUTGRILL,ICE,SIZFREEZ,DWASHUSE,TOPFRONT,WASHLOAD,RNSETEMP,DRYER,DRYRFUEL,TVCOLOR,TVONWE3,WELLPUMP,FUELHEAT,HEATROOM,WHEATOTH,CENACHP,MAINTAC,AGECENAC,ACROOMS,USECENAC,PROTHERMAC,TEMPHOMEAC,NUMCFAN,USECFAN,SWIMPOOL,NOUTLGTNT,WINDOWS,ELWARM,ELWATER,PGASHTWA,NHSLDMEM,HUPROJ,TOTSQFT,TOTHSQFT,TOTCSQFT,KWH,TOTALDOL,KAVALNG,OA_LAT
2,1673,-2,-2,10,3,2,4,7,1,1,0,3,5,2,4,3,1,5,4,2,0,1,7,0,0,1,2,7,3,1,77,6,3,0,4,2,0,0,1,2,-2,2880,1960,1440,12477,1521,1,8
2,1107,-2,-2,10,2,1,2,4,1,0,0,-2,-2,1,2,3,1,1,3,1,0,1,1,0,-2,-2,-2,-2,-2,-2,-2,4,3,0,0,3,0,0,1,4,-2,1598,337,0,4022,992,1,2
2,1339,-2,-2,20,4,3,4,8,1,0,1,-2,4,1,3,3,1,1,4,1,0,1,8,0,0,1,2,8,3,1,77,2,0,0,0,5,1,0,1,2,-2,6780,6130,3450,11631,2327,1,6
2,434,-2,-2,20,3,1,3,6,1,0,0,1,2,1,2,2,1,5,2,-2,0,1,4,0,-2,-2,-2,-2,-2,-2,-2,1,1,0,0,5,0,1,-2,2,-2,1872,761,381,5865,1684,1,0
2,1627,-2,-2,10,2,1,2,4,0,1,0,2,-2,1,2,3,1,5,3,1,1,1,4,0,-2,-2,-2,-2,-2,-2,-2,2,3,0,1,4,0,0,1,2,-2,1320,1320,330,5616,1270,1,6
2,587,-2,-2,20,3,1,4,7,1,0,1,-2,-2,1,3,3,1,5,1,-2,0,1,7,0,0,1,6,7,2,0,72,0,-2,1,1,4,1,0,1,2,-2,3330,2905,2930,8315,1915,1,1
2,3465,-2,-2,10,3,2,1,4,1,1,1,3,3,2,2,3,1,1,4,2,0,1,4,0,0,1,3,4,3,0,75,5,1,0,1,4,0,0,1,2,-2,2430,2030,2030,24384,4167,1,15
2,781,-2,-2,20,2,1,4,6,0,1,1,-2,-2,1,1,2,1,5,1,-2,0,3,3,0,-2,-2,-2,-2,-2,-2,-2,1,1,0,0,4,1,1,-2,2,-2,1975,658,219,6605,4619,-2,3
5,1060,3,0,-2,2,2,2,4,-2,0,0,-2,4,1,4,3,1,5,2,-2,-2,5,4,0,0,0,3,4,3,0,72,2,2,-2,-2,3,1,1,-2,3,0,1156,1156,1156,15948,1442,-2,6
2,1570,-2,-2,20,3,2,5,8,0,0,1,2,3,1,2,3,1,5,2,-2,0,2,6,0,0,1,3,6,2,0,88,5,3,0,0,5,0,1,-2,1,-2,1699,1274,1274,20504,3260,-2,5
5,232,10,0,-2,1,1,1,2,-2,0,0,-2,-2,-2,-2,-2,0,-2,1,-2,-2,1,2,1,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,1,1,0,2,1,1,529,529,0,3302,1153,3,1
2,1017,-2,-2,10,3,1,3,6,1,0,0,1,-2,1,2,2,1,1,1,-2,0,1,5,0,0,0,4,5,1,0,-2,0,-2,0,1,4,0,0,1,2,-2,3232,2730,1258,3824,2123,1,3
2,1097,-2,-2,10,4,1,3,7,0,1,0,-2,2,1,3,3,1,1,2,-2,0,1,7,0,0,0,4,7,1,0,-2,1,1,0,0,4,0,0,1,2,-2,2227,1670,1113,8986,3176,1,3
5,317,1,0,-2,2,1,2,4,-2,1,0,-2,-2,-2,-2,-2,0,-2,3,3,-2,5,4,0,-2,-2,-2,-2,-2,-2,-2,1,3,-2,-2,2,1,1,-2,4,0,810,810,0,10157,773,-2,1
2,955,-2,-2,10,3,2,3,6,1,1,0,2,5,1,3,3,1,5,4,2,0,1,6,0,0,0,3,6,3,1,76,7,2,0,0,3,0,0,1,6,-2,1584,1184,1184,10176,1476,1,1
5,556,2,0,-2,2,1,2,4,-2,0,0,-2,-2,1,4,2,1,5,1,-2,-2,1,4,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,3,0,0,1,4,1,875,875,0,3399,1723,1,2
1,1442,-2,-2,10,3,2,3,6,0,0,0,1,-2,1,2,2,0,-2,2,-2,1,5,6,0,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,3,1,1,-2,1,-2,938,938,469,9312,1688,3,7
2,2474,-2,-2,20,4,3,6,10,1,1,1,1,4,2,4,3,1,5,2,-2,0,5,10,0,1,1,4,10,3,1,76,4,2,1,0,3,1,1,-2,5,-2,6816,5280,4712,31345,3700,-2,19
2,2642,-2,-2,10,3,2,2,5,0,1,1,2,5,1,3,3,1,5,3,1,0,5,5,0,0,1,2,5,3,0,78,2,2,0,1,4,1,1,-2,4,-2,1152,1152,1152,29981,3608,-2,20
2,2611,-2,-2,20,5,3,6,11,1,1,1,1,4,2,2,2,1,5,5,5,1,5,10,0,0,1,2,10,3,1,70,4,3,0,2,6,1,1,-2,3,-2,4648,3862,3862,26202,3206,-2,18
2,1764,-2,-2,10,3,2,2,5,0,1,1,1,1,1,2,3,1,5,2,-2,1,5,5,0,0,0,3,5,3,0,70,4,3,0,2,3,1,0,1,1,-2,1290,1290,1290,10867,2064,3,10
2,389,-2,-2,10,3,1,5,8,0,0,0,-2,-2,1,2,3,1,5,1,-2,0,5,5,0,-2,-2,-2,-2,-2,-2,-2,1,1,0,0,3,1,1,-2,3,0,1920,600,0,13632,1420,-2,1
2,1206,-2,-2,10,3,1,2,5,0,1,0,-2,-2,1,2,3,1,5,1,-2,0,5,4,0,1,0,2,5,3,0,72,2,1,0,0,4,1,1,-2,1,-2,2400,960,1200,14531,1456,-2,5
2,1379,-2,-2,20,3,2,3,6,1,1,1,-2,1,1,1,3,1,1,3,1,0,1,6,0,0,0,6,6,1,0,-2,0,-2,1,0,6,0,0,1,2,-2,2362,1962,1962,13217,2978,1,0
3,513,-2,-2,20,4,2,1,5,0,1,0,-2,5,1,4,3,1,5,4,1,0,1,5,0,0,0,5,5,1,1,-2,0,-2,0,0,6,1,0,1,4,-2,2329,2329,2329,10913,2795,1,3
5,878,1,0,-2,2,1,2,4,-2,0,0,-2,-2,1,3,2,1,5,1,-2,-2,5,4,0,0,0,4,4,3,0,64,1,2,-2,-2,3,1,1,-2,2,-2,684,684,684,12023,1020,-2,0
2,1790,-2,-2,10,2,2,3,5,0,0,0,3,-2,1,2,3,1,5,3,2,1,1,5,0,1,1,2,5,3,1,68,2,1,0,0,3,0,1,-2,2,-2,1403,1403,1403,9150,1643,3,9
2,2504,-2,-2,10,3,1,2,5,0,0,0,-2,1,1,2,3,1,5,3,1,1,5,5,0,0,1,6,5,3,0,75,2,3,0,1,4,1,1,-2,2,-2,1292,1292,1292,27935,2707,-2,15
2,1668,-2,-2,10,3,2,2,5,1,0,1,-2,4,-2,-2,-2,0,-2,2,-2,0,1,5,0,0,0,3,5,2,0,75,4,2,0,0,4,0,0,1,3,-2,1835,1585,1585,7357,1364,3,6
2,418,-2,-2,20,4,3,8,12,1,1,1,-2,5,1,2,3,1,5,5,2,0,1,4,0,0,0,6,4,1,1,-2,1,2,1,0,7,1,0,1,2,-2,5600,1733,1733,17242,5415,1,0
4,572,-2,0,-2,2,1,2,4,-2,0,0,-2,2,-2,-2,-2,0,-2,1,-2,-2,1,4,1,-2,-2,-2,-2,-2,-2,-2,1,3,-2,-2,2,0,0,1,1,0,768,768,192,3884,650,1,0
3,3412,-2,-2,10,2,2,1,3,0,0,0,-2,-2,1,2,3,1,1,1,-2,0,5,3,0,-2,-2,-2,-2,-2,-2,-2,3,2,0,0,3,1,1,-2,1,1,476,476,159,8567,1250,3,0
2,1922,-2,-2,10,3,2,2,5,1,1,0,2,5,1,2,3,1,5,2,-2,0,1,5,0,0,0,5,4,3,0,75,4,3,0,1,3,1,0,1,1,-2,1664,1414,1131,9740,1065,1,11
1,3592,-2,-2,10,2,1,2,4,0,1,1,2,1,1,2,3,1,5,2,-2,0,5,4,0,1,1,1,4,3,1,75,3,3,-2,-2,3,1,1,-2,2,-2,840,840,840,12231,1810,-2,0
3,679,-2,-2,31,4,3,2,6,1,1,1,2,4,1,3,3,1,5,1,-2,0,1,5,0,0,1,2,5,3,0,74,0,-2,0,0,4,0,0,1,5,0,3217,2010,2010,13174,2353,1,1
3,405,-2,-2,10,3,2,4,7,1,1,1,1,2,1,3,3,1,5,4,1,0,1,7,0,0,0,3,6,3,1,77,3,3,0,4,5,0,0,1,1,-2,2244,1844,1581,8894,1552,1,0
2,644,-2,-2,20,3,2,4,7,1,1,0,-2,-2,1,3,3,1,5,3,1,0,1,7,0,0,1,5,7,1,1,-2,0,-2,0,0,6,0,1,-2,4,-2,2266,1995,1995,8174,2220,1,3
5,3243,2,0,-2,1,1,4,5,-2,0,0,-2,3,1,2,3,1,5,2,-2,-2,5,4,1,0,0,3,4,1,0,-2,0,-2,-2,-2,2,1,1,-2,2,0,837,670,670,9367,1423,-2,16
3,1113,-2,-2,20,3,1,3,6,1,1,0,2,-2,1,3,2,1,1,4,3,0,1,6,0,-2,-2,-2,-2,-2,-2,-2,3,3,0,0,4,0,0,1,4,-2,1685,1099,549,5932,2053,1,5
2,769,-2,-2,20,4,2,4,8,1,0,0,2,3,2,3,3,1,5,5,1,0,1,8,0,0,1,1,8,2,0,72,4,2,0,0,5,0,0,1,3,-2,4252,3852,3852,9583,2406,1,3
2,616,-2,-2,10,4,4,3,7,1,1,1,-2,4,1,2,2,1,1,7,2,0,1,7,0,-2,-2,-2,-2,-2,-2,-2,4,3,0,2,4,0,0,1,1,-2,6240,5590,0,14238,3981,1,2
5,668,4,0,-2,1,1,2,3,-2,0,0,-2,3,-2,-2,-2,0,-2,1,-2,-2,1,3,1,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,3,0,1,-2,2,0,528,528,352,2370,1481,2,3
4,734,-2,0,-2,2,1,4,6,-2,1,0,-2,2,-2,-2,-2,0,-2,2,-2,-2,2,6,1,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,4,0,0,-2,2,0,1829,1829,305,4332,2987,-2,3
2,2585,-2,-2,10,3,1,4,7,1,1,0,1,2,1,2,3,1,5,3,3,0,5,7,0,0,1,2,7,3,1,76,2,1,0,0,3,1,1,-2,3,0,2272,2272,2272,23388,3748,3,18
2,1909,-2,-2,10,3,2,4,7,1,1,1,1,3,1,3,3,1,1,4,1,0,1,7,0,0,1,1,7,3,1,70,2,3,0,0,2,0,0,1,2,-2,1566,1166,1166,9311,1723,1,0
2,2425,-2,-2,10,3,2,3,6,1,1,0,3,1,1,1,2,1,5,2,-2,0,5,6,0,1,1,3,6,3,1,76,6,3,0,1,6,1,1,-2,1,-2,3968,3568,3568,14180,1757,-2,1
5,1518,21,0,-2,2,2,2,4,-2,0,1,-2,5,2,2,1,1,5,2,-2,-2,1,4,1,0,0,6,4,3,1,70,0,-2,-2,-2,3,0,0,2,1,-2,1823,1823,1823,4824,1625,3,6
2,967,-2,-2,10,1,1,3,4,0,1,0,2,-2,1,3,3,1,5,3,2,0,1,4,0,0,0,2,4,1,1,-2,0,-2,0,0,4,0,0,1,2,-2,1303,1067,1067,6677,1689,1,1
2,767,-2,-2,10,4,1,3,7,1,1,0,-2,4,1,3,3,1,5,2,-2,0,3,7,0,-2,-2,-2,-2,-2,-2,-2,3,1,1,1,3,0,0,-2,4,-2,2352,2102,299,9357,2457,-2,4
2,377,-2,-2,20,2,3,2,4,0,1,1,-2,3,1,2,3,1,5,1,-2,1,7,4,0,-2,-2,-2,-2,-2,-2,-2,1,3,0,0,5,0,0,-2,2,-2,2045,1854,0,6854,2214,-2,1
3,786,-2,-2,20,2,2,1,3,1,1,1,-2,3,1,2,3,1,5,2,-2,0,1,3,0,0,0,2,3,1,1,-2,0,-2,0,0,2,0,0,1,2,-2,1087,837,837,3856,735,1,2
2,829,-2,-2,10,5,2,4,9,1,1,1,1,2,1,3,3,1,5,2,-2,0,3,9,0,0,0,5,6,1,0,-2,3,1,0,0,4,0,1,-2,4,-2,2088,926,617,15593,3664,-2,3
2,914,-2,-2,20,3,2,5,8,1,1,0,2,2,1,3,3,1,5,2,-2,1,5,8,0,0,1,5,8,3,1,68,2,3,1,0,4,1,1,-2,3,-2,2763,2363,2363,32314,4825,-2,3
2,1286,-2,-2,10,3,2,3,6,1,1,0,-2,3,1,2,3,1,5,3,1,0,1,6,0,0,1,4,6,3,1,68,2,2,0,0,5,1,0,1,3,-2,2552,2552,2552,10401,2369,1,5
2,436,-2,-2,20,3,2,6,9,1,1,0,2,5,1,4,3,1,5,5,1,1,3,8,0,0,1,3,8,1,0,-2,4,3,0,0,7,0,0,-2,5,-2,4476,2556,2556,11510,3970,-2,3
2,2924,-2,-2,10,3,2,2,5,0,1,1,-2,2,1,2,3,1,5,1,-2,1,5,5,0,0,0,3,5,3,0,70,4,3,0,0,4,1,1,-2,3,-2,2100,2100,2100,25634,2821,-2,14
4,682,-2,0,-2,3,1,3,6,-2,0,0,-2,5,-2,-2,-2,0,-2,2,-2,-2,1,4,0,-2,-2,-2,-2,-2,-2,-2,3,1,-2,-2,3,1,0,2,3,0,986,657,164,4931,1271,2,4
2,541,-2,-2,20,5,4,5,10,1,1,1,1,5,1,3,3,1,1,5,2,1,1,10,0,0,1,5,10,2,1,73,5,1,0,0,4,0,0,1,4,-2,4932,4282,4282,10853,2578,1,0
5,559,3,0,-2,1,1,2,3,-2,0,0,-2,-2,-2,-2,-2,0,-2,1,-2,-2,5,3,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,4,1,1,-2,1,1,650,650,434,4239,381,-2,1
2,439,-2,-2,20,3,1,7,10,0,1,0,1,-2,1,1,3,1,5,2,-2,0,3,6,0,-2,-2,-2,-2,-2,-2,-2,1,1,0,0,4,1,1,-2,2,-2,2916,1154,192,7358,3293,-2,3
2,1609,-2,-2,20,3,3,6,9,0,1,1,-2,-2,1,3,3,1,5,2,-2,0,1,9,0,0,1,4,9,3,0,72,3,3,0,3,2,0,0,1,2,-2,2850,2850,2850,9279,1780,1,6
2,1591,-2,-2,20,4,2,1,5,1,1,1,3,3,1,4,2,1,5,5,3,0,5,5,0,0,1,3,5,3,0,72,2,2,0,1,4,1,1,-2,4,-2,2481,2231,2231,23797,2425,-2,10
2,3743,-2,-2,20,4,2,4,8,0,0,1,-2,4,2,2,2,1,5,4,1,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,3,3,1,1,7,0,1,-2,2,-2,2773,0,693,17379,3695,-2,26
5,1549,20,0,-2,2,2,3,5,-2,0,0,-2,-2,-2,-2,-2,0,-2,3,1,-2,1,5,0,0,1,4,5,1,0,-2,0,-2,-2,-2,2,0,0,2,2,0,674,674,674,4673,1093,3,5
2,849,-2,-2,20,3,2,2,5,1,1,1,-2,2,2,2,3,1,5,2,-2,0,1,5,0,0,1,2,5,1,1,-2,3,2,0,0,4,0,0,1,2,-2,1989,1589,1589,6414,1237,1,0
3,426,-2,-2,20,2,2,4,6,1,1,0,-2,3,1,2,3,1,1,2,-2,0,1,6,0,0,0,6,6,1,1,-2,5,3,0,0,4,0,0,1,2,-2,3743,3343,3343,6024,1555,1,0
2,1703,-2,-2,10,3,2,2,5,1,1,1,-2,-2,1,3,3,1,1,4,3,0,1,5,0,0,1,3,5,1,1,-2,1,1,1,0,4,0,0,1,5,-2,2160,1760,1760,6864,1230,1,0
2,1704,-2,-2,10,4,4,5,9,1,1,0,3,4,2,4,2,1,5,7,1,1,1,9,0,0,1,3,9,3,1,71,0,-2,1,1,7,0,0,1,2,-2,6386,5736,5736,32314,6911,1,6
2,696,-2,-2,10,2,1,2,4,1,0,0,-2,-2,-2,-2,-2,0,-2,1,-2,1,5,2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,0,2,1,1,-2,1,-2,984,367,184,29786,2154,-2,0
2,2547,-2,-2,20,4,2,5,9,1,1,1,-2,3,1,3,3,1,5,3,1,0,2,6,0,0,0,5,5,2,1,80,4,2,0,2,6,1,0,-2,3,-2,3064,2176,2472,20177,3142,-2,6
4,2861,-2,0,-2,1,1,2,3,-2,0,0,-2,3,1,3,3,1,5,1,-2,-2,5,3,1,0,0,1,3,2,0,72,0,-2,-2,-2,1,1,1,-2,1,0,736,736,736,9564,1184,-2,7
5,1567,4,0,-2,2,1,1,3,-2,0,0,-2,3,1,2,2,1,5,1,-2,-2,1,3,0,0,1,4,3,2,1,69,0,-2,-2,-2,3,1,0,1,3,-2,740,740,740,7278,1391,1,6
2,553,-2,-2,20,3,1,5,8,0,1,1,1,3,2,2,3,1,1,3,1,0,1,8,0,-2,-2,-2,-2,-2,-2,-2,3,3,0,0,7,0,0,1,2,-2,3809,2665,666,6057,2727,1,2
2,1766,-2,-2,10,5,2,2,7,1,1,0,1,3,2,4,3,1,5,3,2,0,1,7,0,-2,-2,-2,-2,-2,-2,-2,8,3,1,0,3,0,0,1,2,-2,2391,2141,0,6099,1140,1,1
2,377,-2,-2,31,4,2,4,8,1,1,1,2,1,1,2,3,1,5,3,1,0,1,8,0,0,0,5,8,1,0,-2,2,1,0,0,4,0,0,1,2,-2,2950,2700,2700,7181,3101,1,2
2,1298,-2,-2,10,3,2,3,6,1,1,1,-2,2,1,2,3,1,5,1,-2,0,1,5,0,0,0,3,5,3,0,71,1,1,0,0,4,0,0,1,1,-2,4316,2110,1615,4499,1385,1,6
3,924,-2,-2,20,3,1,4,7,0,1,0,-2,-2,1,3,3,1,5,3,1,0,1,3,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,0,3,1,0,1,4,1,3196,685,685,7598,1982,1,3
5,442,3,0,-2,1,1,2,3,-2,0,0,-2,5,-2,-2,-2,0,-2,1,-2,-2,4,3,1,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,3,0,1,-2,1,1,358,358,119,2843,1118,-2,3
1,2895,-2,-2,10,3,2,4,7,0,1,1,-2,-2,1,3,3,1,5,2,-2,1,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,2,3,-2,-2,4,0,1,-2,2,-2,1612,0,461,16466,2552,-2,14
2,331,-2,-2,20,4,3,5,9,0,1,1,2,-2,1,3,3,1,5,2,-2,1,5,9,0,1,0,5,9,1,0,-2,1,2,0,0,5,1,1,-2,4,-2,5539,3681,3681,21997,2203,-2,0
2,3799,-2,-2,10,4,3,3,7,1,1,0,3,3,1,3,3,1,5,5,2,0,5,7,0,0,0,4,7,2,0,75,8,3,0,4,4,1,1,-2,5,-2,5062,4662,4662,27900,3420,-2,7
2,1673,-2,-2,20,2,1,3,5,0,1,1,-2,1,1,3,3,1,5,4,2,1,1,5,0,0,0,1,4,3,0,70,1,0,0,0,6,1,0,1,4,-2,2279,1354,1354,10600,2349,1,6
2,2464,-2,-2,20,5,3,5,10,0,0,1,1,3,1,3,3,1,5,3,1,0,2,6,0,-2,-2,-2,-2,-2,-2,-2,7,2,0,0,7,1,1,-2,2,-2,3456,2074,2765,12167,2431,-2,2
2,926,-2,-2,20,3,2,3,6,1,1,1,-2,3,1,2,3,1,5,2,-2,0,1,6,0,0,0,3,6,3,1,65,2,0,0,0,4,0,0,1,2,-2,3005,1704,1704,10508,1835,1,0
5,1502,1,0,-2,2,1,2,4,-2,0,0,-2,3,-2,-2,-2,0,-2,2,-2,-2,5,4,0,0,1,3,4,1,1,-2,0,-2,-2,-2,2,1,1,-2,2,0,564,564,564,8594,1267,-2,0
4,805,-2,0,-2,3,1,2,5,-2,1,1,-2,-2,2,3,2,1,5,3,1,-2,1,5,0,0,0,2,1,1,1,-2,0,-2,-2,-2,4,0,0,1,2,-2,2450,1256,276,12202,2105,1,3
2,1472,-2,-2,10,3,1,4,7,1,0,1,-2,-2,1,3,3,1,5,4,1,1,1,7,0,0,1,6,6,3,1,80,5,3,0,0,4,1,0,1,2,-2,2550,1725,986,6522,1332,1,4
2,302,-2,-2,20,3,2,2,5,1,1,0,-2,1,1,2,3,1,1,3,1,0,5,5,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,1,4,1,0,1,2,-2,1790,1390,0,3564,519,1,1
1,755,-2,-2,10,2,1,2,4,0,1,0,-2,-2,1,2,3,1,5,1,-2,0,5,4,0,0,1,3,4,1,0,-2,1,0,-2,-2,3,1,1,-2,1,-2,902,902,902,7510,1051,-2,2
2,531,-2,-2,10,3,1,3,6,1,1,0,2,5,1,3,3,1,1,6,4,1,1,6,0,0,0,5,6,1,1,-2,0,-2,0,2,3,0,0,1,3,-2,2800,1850,1300,11809,2280,1,2
2,798,-2,-2,10,4,2,3,7,0,1,0,-2,-2,1,4,3,1,5,5,4,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,1,5,0,0,1,9,0,1300,0,0,7208,1494,1,3
4,775,-2,0,-2,1,1,2,3,-2,0,0,-2,-2,-2,-2,-2,0,-2,2,-2,-2,1,3,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,4,1,0,1,3,0,882,592,0,2805,1735,2,3
3,3978,-2,-2,10,1,1,2,3,0,0,0,-2,-2,-2,-2,-2,0,-2,2,-2,0,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,2,3,0,0,6,0,1,-2,4,0,564,0,188,12154,1338,-2,29
3,1643,-2,-2,20,3,2,4,7,0,1,0,2,-2,1,3,3,1,1,2,-2,0,3,7,0,-2,-2,-2,-2,-2,-2,-2,3,2,0,0,3,0,1,-2,6,0,1814,1799,821,15363,3094,1,5
1,1251,-2,-2,10,3,2,2,5,0,1,0,-2,-2,1,2,3,1,5,3,1,0,5,5,0,0,1,6,5,3,0,74,1,3,-2,-2,4,1,1,-2,2,-2,640,640,640,34015,2564,-2,6
2,1417,-2,-2,10,3,2,3,6,1,1,0,-2,4,1,3,3,1,1,3,2,0,5,6,0,0,0,2,6,2,1,75,2,3,1,0,4,1,0,1,3,-2,1930,1530,1530,9167,2277,1,0
5,921,2,0,-2,1,1,2,3,-2,0,0,-2,-2,-2,-2,-2,0,-2,1,-2,-2,5,3,0,0,0,4,3,1,0,-2,0,-2,-2,-2,1,1,1,-2,1,0,481,481,481,4224,612,-2,4
2,783,-2,-2,10,3,2,3,6,1,1,0,1,5,1,4,2,1,5,3,3,0,5,6,0,-2,-2,-2,-2,-2,-2,-2,4,1,0,1,3,1,1,-2,2,-2,2278,1878,626,31365,2849,-2,3
2,741,-2,-2,20,3,2,6,9,1,1,0,-2,4,1,3,2,1,1,3,2,0,1,9,0,0,0,4,9,3,0,72,4,1,0,1,6,1,0,1,5,-2,4790,4540,4540,24971,3852,1,1
2,1681,-2,-2,10,4,2,5,9,1,1,1,3,5,1,3,3,1,5,4,1,0,1,9,0,0,1,4,9,3,0,73,1,1,0,2,5,1,0,1,2,-2,3286,2886,2886,13268,2116,1,5
5,979,6,0,-2,2,1,3,5,-2,0,0,-2,-2,-2,-2,-2,0,-2,2,-2,-2,3,5,1,-2,-2,-2,-2,-2,-2,-2,1,2,-2,-2,3,0,0,-2,3,-2,888,888,355,5377,2070,-2,5
2,47,-2,-2,10,3,1,2,5,1,0,0,2,1,1,2,2,1,5,2,-2,0,1,5,0,-2,-2,-2,-2,-2,-2,-2,1,1,0,0,3,0,0,1,1,-2,1558,1308,0,3311,1311,1,0
2,3125,-2,-2,10,3,2,6,9,1,0,0,-2,1,1,2,2,1,5,3,1,0,-2,-2,0,0,0,3,6,1,1,-2,2,2,0,2,4,0,0,1,2,-2,1800,0,933,7252,1441,3,15
2,675,-2,-2,10,3,2,3,6,0,1,0,-2,-2,2,3,3,0,-2,2,-2,0,1,6,0,-2,-2,-2,-2,-2,-2,-2,1,1,0,1,4,0,0,1,4,-2,1680,1680,0,4126,1320,1,1
2,2112,-2,-2,10,3,1,3,6,0,0,0,-2,-2,1,2,3,1,5,3,1,0,5,6,0,0,1,2,6,1,0,-2,1,2,0,0,3,1,1,-2,6,1,1176,1176,1176,22370,2035,-2,12
4,745,-2,0,-2,3,1,3,6,-2,0,0,-2,1,1,1,3,1,5,2,-2,-2,1,6,1,-2,-2,-2,-2,-2,-2,-2,2,1,-2,-2,6,0,0,1,1,-2,2070,1196,399,3563,1894,1,3
5,1184,3,0,-2,1,1,1,2,-2,0,0,-2,-2,-2,-2,-2,0,-2,2,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,1,1,-2,-2,0,0,0,1,5,0,745,0,0,2501,541,3,0
2,1538,-2,-2,10,3,2,2,5,1,0,1,-2,3,1,2,3,1,5,1,-2,0,5,5,0,0,0,3,5,3,0,68,1,3,0,1,4,1,1,-2,3,-2,1990,1590,1590,18023,1520,-2,8
2,458,-2,-2,10,2,1,3,5,0,1,0,2,2,1,2,3,1,5,5,2,0,1,5,0,0,1,3,5,1,1,-2,2,2,0,0,5,0,0,1,2,-2,2016,1008,1008,5783,1710,1,1
2,3592,-2,-2,10,3,3,5,8,1,1,1,-2,3,1,4,3,1,1,6,1,0,1,8,0,0,1,3,8,3,1,76,7,2,1,2,5,0,0,1,1,-2,4260,3610,3610,17738,3384,1,1
2,1662,-2,-2,10,3,2,5,8,0,0,0,-2,3,1,2,3,0,-2,1,-2,0,1,5,0,0,0,3,5,3,1,78,4,2,0,0,6,0,1,-2,1,-2,2518,1574,1574,5994,2366,1,7
1,498,-2,-2,10,3,2,2,5,0,0,0,3,4,1,4,3,1,5,4,2,0,1,5,0,-2,-2,-2,-2,-2,-2,-2,3,3,-2,-2,3,1,0,1,3,-2,1120,1120,0,16171,2312,1,1
3,537,-2,-2,20,2,1,2,4,0,1,0,-2,-2,-2,-2,-2,0,-2,3,1,0,1,4,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,0,3,0,0,3,3,0,1404,1404,234,5177,1633,2,4
2,2461,-2,-2,10,2,2,3,5,1,1,0,-2,-2,2,3,3,1,5,3,5,0,5,5,0,1,1,4,5,3,0,70,3,3,0,0,2,1,1,-2,2,-2,1400,1150,1150,10819,1439,-2,20
2,1706,-2,-2,10,4,2,3,7,1,0,0,-2,-2,1,1,2,1,1,1,-2,0,1,5,0,0,0,1,4,1,0,-2,2,1,0,1,4,0,0,1,1,-2,1324,660,528,5660,1496,1,0
1,68,-2,-2,10,2,2,3,5,0,1,0,1,5,1,2,3,1,2,1,-2,1,7,5,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,3,1,1,-2,2,-2,924,924,185,14068,1072,3,0
3,1433,-2,-2,10,3,2,3,6,1,1,1,-2,3,1,3,3,1,1,2,-2,0,1,4,0,0,1,1,4,1,1,-2,3,2,0,0,2,0,0,1,2,-2,1408,672,672,6074,1134,1,2
5,624,2,0,-2,2,1,2,4,-2,0,0,-2,2,-2,-2,-2,0,-2,3,1,-2,1,4,1,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,2,0,0,1,2,0,691,691,0,5015,946,3,1
3,1127,-2,-2,10,2,1,2,4,0,0,0,-2,-2,1,3,3,1,5,1,-2,0,1,4,0,-2,-2,-2,-2,-2,-2,-2,0,-2,0,0,2,0,0,1,2,0,890,890,0,3824,892,1,0
2,631,-2,-2,20,3,1,3,6,1,1,0,-2,-2,1,2,3,1,1,2,-2,0,1,6,0,0,1,1,6,1,1,-2,1,2,0,0,5,0,0,1,2,-2,2399,1349,1349,8083,1687,1,2
3,1175,-2,-2,10,2,2,4,6,0,1,1,-2,3,1,2,3,1,1,1,-2,0,1,6,1,0,0,6,6,1,0,-2,0,-2,0,0,4,1,0,1,2,-2,1192,1192,1192,13360,4040,1,1
