Var1,Var2,Corr,Target,Variables,Correlation,abs(Correlation)
DVD3,TVAUDIOSYS3,0.9640433639602414,KWH,TVAUDIOSYS3,0.3376117380030624,0.3376117380030624
DVD3,COMBOVCRDVD3,0.9450674665627601,KWH,COMBOVCRDVD3,0.3381145292516945,0.3381145292516945
DVD3,TVONWD3,0.9235735336951864,KWH,TVONWD3,0.33901316747118193,0.33901316747118193
DVD3,CABLESAT3,0.9173833847494187,KWH,CABLESAT3,0.3400536885629924,0.3400536885629924
DVD3,PLAYSTA3,0.945812653204964,KWH,PLAYSTA3,0.3401636520462704,0.3401636520462704
DVD3,TVONWE3,0.9252737999876134,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
DWASHUSE,DWASHUSE,1.0,KWH,DWASHUSE,0.3432383864274805,0.3432383864274805
ELWARM,PELHEAT,0.988483937397962,KWH,PELHEAT,0.3009394557887871,0.3009394557887871
ELWARM,ELWARM,1.0,KWH,ELWARM,0.3112288483025626,0.3112288483025626
ELWATER,FUELH2O,0.9375250628965317,KWH,FUELH2O,0.3548758406936547,0.3548758406936547
ELWATER,PELHOTWA,0.9940753744205312,KWH,PELHOTWA,0.36277412172691287,0.36277412172691287
ELWATER,ELWATER,1.0,KWH,ELWATER,0.3671771179566893,0.3671771179566893
FUELH2O,FUELH2O,1.0,KWH,FUELH2O,0.3548758406936547,0.3548758406936547
FUELH2O,PELHOTWA,0.9321848631158663,KWH,PELHOTWA,0.36277412172691287,0.36277412172691287
FUELH2O,ELWATER,0.9375250628965317,KWH,ELWATER,0.3671771179566893,0.3671771179566893
FUELHEAT,FUELHEAT,1.0,KWH,FUELHEAT,0.3190464809356458,0.3190464809356458
HEATROOM,HEATROOM,1.0,KWH,HEATROOM,0.4329061756900957,0.4329061756900957
HUPROJ,KOWNRENT,0.9886136208832764,KWH,KOWNRENT,-0.3079109606576243,0.3079109606576243
HUPROJ,HUPROJ,1.0,KWH,HUPROJ,-0.3157853990412146,0.3157853990412146
ICE,ICE,1.0,KWH,ICE,0.32609718811210947,0.32609718811210947
KAVALNG,USENG,0.9210449267965423,KWH,USENG,-0.33147257949802156,0.33147257949802156
KAVALNG,PERIODNG,0.9849735819835301,KWH,PERIODNG,-0.35626866612982755,0.35626866612982755
KAVALNG,SCALENG,0.9944233656389757,KWH,SCALENG,-0.35634924934051826,0.35634924934051826
KAVALNG,KAVALNG,1.0,KWH,KAVALNG,-0.3593546300099876,0.3593546300099876
KOWNRENT,KOWNRENT,1.0,KWH,KOWNRENT,-0.3079109606576243,0.3079109606576243
KOWNRENT,HUPROJ,0.9886136208832764,KWH,HUPROJ,-0.3157853990412146,0.3157853990412146
KWH,KWH,1.0,KWH,KWH,1.0,1.0
MAINTAC,MAINTAC,1.0,KWH,MAINTAC,0.38870680886175074,0.38870680886175074
NAPTFLRS,NAPTFLRS,1.0,KWH,NAPTFLRS,-0.39818644907825274,0.39818644907825274
NAPTFLRS,STUDIO,0.993927910293413,KWH,STUDIO,-0.4065958731589773,0.4065958731589773
NCOMBATH,NCOMBATH,1.0,KWH,NCOMBATH,0.4228131113570512,0.4228131113570512
NHSLDMEM,NHSLDMEM,1.0,KWH,NHSLDMEM,0.3362100510093768,0.3362100510093768
NOUTLGTNT,NOUTLGTNT,1.0,KWH,NOUTLGTNT,0.3549304588576313,0.3549304588576313
NUMAPTS,NUMAPTS,1.0,KWH,NUMAPTS,-0.3362847634686694,0.3362847634686694
NUMAPTS,NUMFLRS,0.9956870648573724,KWH,NUMFLRS,-0.33724238725500366,0.33724238725500366
NUMCFAN,NUMCFAN,1.0,KWH,NUMCFAN,0.4078985616837534,0.4078985616837534
NUMFLRS,NUMAPTS,0.9956870648573724,KWH,NUMAPTS,-0.3362847634686694,0.3362847634686694
NUMFLRS,NUMFLRS,1.0,KWH,NUMFLRS,-0.33724238725500366,0.33724238725500366
OA_LAT,OA_LAT,1.0,KWH,OA_LAT,0.31676236622900933,0.31676236622900933
OTHERSTB3,VCR3,0.9818027333534091,KWH,VCR3,0.3268460838090407,0.3268460838090407
OTHERSTB3,DIGITSTB3,0.9797088707940821,KWH,DIGITSTB3,0.3277784051239616,0.3277784051239616
OTHERSTB3,DVD3,0.964415464547748,KWH,DVD3,0.3309321400617885,0.3309321400617885
OTHERSTB3,TVSIZE3,0.9509112476920284,KWH,TVSIZE3,0.33152638910470067,0.33152638910470067
OTHERSTB3,OTHERSTB3,1.0,KWH,OTHERSTB3,0.3343430128248828,0.3343430128248828
OTHERSTB3,TVTYPE3,0.9608420133425363,KWH,TVTYPE3,0.3369300194568894,0.3369300194568894
OTHERSTB3,TVAUDIOSYS3,0.9923871635323009,KWH,TVAUDIOSYS3,0.3376117380030624,0.3376117380030624
OTHERSTB3,COMBOVCRDVD3,0.9821259474441713,KWH,COMBOVCRDVD3,0.3381145292516945,0.3381145292516945
OTHERSTB3,TVONWD3,0.9489776862573306,KWH,TVONWD3,0.33901316747118193,0.33901316747118193
OTHERSTB3,CABLESAT3,0.9471679958234949,KWH,CABLESAT3,0.3400536885629924,0.3400536885629924
OTHERSTB3,PLAYSTA3,0.9750731397814139,KWH,PLAYSTA3,0.3401636520462704,0.3401636520462704
OTHERSTB3,TVONWE3,0.947741269074855,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
OTHROOMS,OTHROOMS,1.0,KWH,OTHROOMS,0.3567543183188215,0.3567543183188215
OUTGRILL,OUTGRILL,1.0,KWH,OUTGRILL,0.34236646335685766,0.34236646335685766
PELAC,ACOTHERS,0.9818132290061256,KWH,ACOTHERS,0.3774532376504094,0.3774532376504094
PELAC,PELAC,1.0,KWH,PELAC,0.3844373102546891,0.3844373102546891
PELAC,THERMAINAC,0.9734991842466363,KWH,THERMAINAC,0.4017799796434648,0.4017799796434648
PELAC,CENACHP,0.9192751673847779,KWH,CENACHP,0.42798657416605035,0.42798657416605035
PELHEAT,PELHEAT,1.0,KWH,PELHEAT,0.3009394557887871,0.3009394557887871
PELHEAT,ELWARM,0.988483937397962,KWH,ELWARM,0.3112288483025626,0.3112288483025626
PELHOTWA,FUELH2O,0.9321848631158663,KWH,FUELH2O,0.3548758406936547,0.3548758406936547
PELHOTWA,PELHOTWA,1.0,KWH,PELHOTWA,0.36277412172691287,0.36277412172691287
PELHOTWA,ELWATER,0.9940753744205312,KWH,ELWATER,0.3671771179566893,0.3671771179566893
PERIODNG,USENG,0.9155432861872989,KWH,USENG,-0.33147257949802156,0.33147257949802156
PERIODNG,PERIODNG,1.0,KWH,PERIODNG,-0.35626866612982755,0.35626866612982755
PERIODNG,SCALENG,0.9880472049409997,KWH,SCALENG,-0.35634924934051826,0.35634924934051826
PERIODNG,KAVALNG,0.9849735819835301,KWH,KAVALNG,-0.3593546300099876,0.3593546300099876
PGASHTWA,UGWATER,0.9729757447349611,KWH,UGWATER,-0.3260742276792467,0.3260742276792467
PGASHTWA,PGASHTWA,1.0,KWH,PGASHTWA,-0.35775952136702627,0.35775952136702627
PLAYSTA3,VCR3,0.9599397041637978,KWH,VCR3,0.3268460838090407,0.3268460838090407
PLAYSTA3,DIGITSTB3,0.9576543635107148,KWH,DIGITSTB3,0.3277784051239616,0.3277784051239616
PLAYSTA3,DVD3,0.945812653204964,KWH,DVD3,0.3309321400617885,0.3309321400617885
PLAYSTA3,TVSIZE3,0.9375500648315055,KWH,TVSIZE3,0.33152638910470067,0.33152638910470067
PLAYSTA3,OTHERSTB3,0.9750731397814139,KWH,OTHERSTB3,0.3343430128248828,0.3343430128248828
PLAYSTA3,TVTYPE3,0.9424144874188627,KWH,TVTYPE3,0.3369300194568894,0.3369300194568894
PLAYSTA3,TVAUDIOSYS3,0.9725790262329513,KWH,TVAUDIOSYS3,0.3376117380030624,0.3376117380030624
PLAYSTA3,COMBOVCRDVD3,0.9629966076992498,KWH,COMBOVCRDVD3,0.3381145292516945,0.3381145292516945
PLAYSTA3,TVONWD3,0.9364028937467219,KWH,TVONWD3,0.33901316747118193,0.33901316747118193
PLAYSTA3,CABLESAT3,0.9225953908675415,KWH,CABLESAT3,0.3400536885629924,0.3400536885629924
PLAYSTA3,PLAYSTA3,1.0,KWH,PLAYSTA3,0.3401636520462704,0.3401636520462704
PLAYSTA3,TVONWE3,0.9406377577159607,KWH,TVONWE3,0.3421252665294553,0.3421252665294553
PRKGPLC1,PRKGPLC1,1.0,KWH,PRKGPLC1,0.3722367702284419,0.3722367702284419
PROTHERMAC,PROTHERMAC,1.0,KWH,PROTHERMAC,0.3698923973272348,0.3698923973272348
RNSETEMP,RNSETEMP,1.0,KWH,RNSETEMP,0.31161813050537773,0.31161813050537773
SCALENG,USENG,0.9242346402251878,KWH,USENG,-0.33147257949802156,0.33147257949802156
SCALENG,PERIODNG,0.9880472049409997,KWH,PERIODNG,-0.35626866612982755,0.35626866612982755
SCALENG,SCALENG,1.0,KWH,SCALENG,-0.35634924934051826,0.35634924934051826
SCALENG,KAVALNG,0.9944233656389757,KWH,KAVALNG,-0.3593546300099876,0.3593546300099876
SIZFREEZ,SIZFREEZ,1.0,KWH,SIZFREEZ,0.3014701080517893,0.3014701080517893
STORIES,STORIES,1.0,KWH,STORIES,0.3239337418241894,0.3239337418241894
STUDIO,NAPTFLRS,0.993927910293413,KWH,NAPTFLRS,-0.39818644907825274,0.39818644907825274
STUDIO,STUDIO,1.0,KWH,STUDIO,-0.4065958731589773,0.4065958731589773
SWIMPOOL,SWIMPOOL,1.0,KWH,SWIMPOOL,0.3974358845105034,0.3974358845105034
